"Education/Reading/Class","4/2/18 11:00 AM","4/2/18 11:50 AM","0.83","","","","","",""
"Family/Friends/Socializing","4/2/18 11:50 AM","4/2/18 12:00 PM","0.17","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/2/18 12:00 PM","4/2/18 12:22 PM","0.37","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/2/18 12:22 PM","4/2/18 2:32 PM","2.17","","","","","",""
"Shallow Work/Planning","4/2/18 2:32 PM","4/2/18 3:47 PM","1.25","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/2/18 3:47 PM","4/2/18 4:00 PM","0.22","","","","","",""
"Shallow Work/Planning","4/2/18 4:00 PM","4/2/18 5:53 PM","1.88","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/2/18 5:53 PM","4/2/18 7:05 PM","1.2","","","","","",""
"Family/Friends/Socializing","4/2/18 7:05 PM","4/2/18 8:23 PM","1.3","","","","","",""
"Shallow Work/Planning","4/2/18 8:23 PM","4/2/18 9:23 PM","1","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/2/18 9:23 PM","4/2/18 10:00 PM","0.62","","","","","",""
"Sleeping/Napping","4/2/18 10:00 PM","4/3/18 7:10 AM","9.17","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/3/18 7:10 AM","4/3/18 7:45 AM","0.58","","","","","",""
"Education/Reading/Class","4/3/18 7:45 AM","4/3/18 10:57 AM","3.2","","","","","",""
"Family/Friends/Socializing","4/3/18 10:57 AM","4/3/18 11:00 AM","0.05","","","","","",""
"Education/Reading/Class","4/3/18 11:00 AM","4/3/18 12:14 PM","1.23","","","","","",""
"Family/Friends/Socializing","4/3/18 12:14 PM","4/3/18 1:21 PM","1.12","","","","","",""
"Education/Reading/Class","4/3/18 1:22 PM","4/3/18 3:03 PM","1.68","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/3/18 3:03 PM","4/3/18 3:16 PM","0.22","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/3/18 3:16 PM","4/3/18 4:00 PM","0.73","","","","","",""
"Education/Reading/Class","4/3/18 3:30 PM","4/3/18 5:35 PM","2.08","","","","","",""
"Dating","4/3/18 6:00 PM","4/3/18 6:28 PM","0.47","","","","","",""
"Education/Reading/Class","4/3/18 6:28 PM","4/3/18 7:38 PM","1.17","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/3/18 7:38 PM","4/3/18 8:00 PM","0.37","","","","","",""
"Education/Reading/Class","4/3/18 8:00 PM","4/3/18 9:51 PM","1.85","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/3/18 9:51 PM","4/3/18 10:02 PM","0.18","","","","","",""
