"Job","Clocked In","Clocked Out","Duration","Comment","Tags","Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"Education/Reading/Class","7/28/17 12:00 PM","7/28/17 2:08 PM","2.13","","","","","",""
"Education/Reading/Class","8/11/17 6:30 PM","8/11/17 8:30 PM","2","","","","","",""
"Education/Reading/Class","8/12/17 9:30 AM","8/12/17 7:20 PM","9.83","","","","","",""
"Education/Reading/Class","8/13/17 9:30 AM","8/13/17 10:30 AM","1","","","","","",""
"Education/Reading/Class","8/18/17 7:45 PM","8/18/17 10:21 PM","2.6","","","","","",""
"Education/Reading/Class","8/19/17 9:04 AM","8/19/17 11:18 AM","2.23","","","","","",""
"Education/Reading/Class","8/19/17 12:00 PM","8/19/17 12:17 PM","0.28","","","","","",""
"Education/Reading/Class","8/19/17 1:17 PM","8/19/17 2:16 PM","0.98","","","","","",""
"Education/Reading/Class","8/19/17 2:28 PM","8/19/17 3:21 PM","0.88","","","","","",""
"Education/Reading/Class","8/19/17 5:43 PM","8/19/17 5:53 PM","0.17","","","","","",""
"Education/Reading/Class","8/19/17 7:01 PM","8/19/17 7:16 PM","0.25","","","","","",""
"Education/Reading/Class","8/20/17 9:47 AM","8/20/17 12:05 PM","2.3","","","","","",""
"Education/Reading/Class","8/20/17 12:06 PM","8/20/17 1:08 PM","1.03","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","8/31/17 8:36 AM","8/31/17 9:10 AM","0.57","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","8/31/17 10:01 AM","8/31/17 10:16 AM","0.25","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","8/31/17 10:50 AM","8/31/17 11:32 AM","0.7","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","8/31/17 12:50 PM","8/31/17 1:41 PM","0.85","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","8/31/17 2:47 PM","8/31/17 2:57 PM","0.17","","","","","",""
